Datum;Zulauf: Zulauf KA (Abwassermenge pro Tag) in m³;Zulauf: CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Zulauf: BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Zulauf: Phosphor in mg/l;Zulauf: Gebundener Stickstoff in mg/l;Zulauf: Ammoniumstickstroff in mg/l;Ablauf: KA (zeitl. Verschiebung durch Aufenthaltsdauer) in m³;Ablauf: CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Ablauf: BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Ablauf: Phosphor in mg/l;Ablauf: Gebundener Stickstoff in mg/l;Ablauf: Ammoniumstickstroff in mg/l;Entsorgte Schlammmenge in t;TS-Gehalt entwässerten Schlammes in %;Grenzwert für CSB (Maß für Summe aller organischer Berbindungen) in mg/l;Grenzwert für BSB (Maß für Sauerstoffbedarf für biologischen Abbau) in mg/l;Grenzwert für Phosphor in mg/l;Grenzwert für Gebundener Stickstoff in mg/l;Grenzwert für Ammoniumstickstroff in mg/l;Fremdbezug in kwh;BHKW_Erzeugung in kwh;BHKW_Einspeisung in kwh;Verbrauch KA in kwh;Durchfluß Gasanfall im FB in m³/h;Abgang Schlamm/NKB Wirkleistung des 3 Phasennetzes;Abgang Belebung Wirkleistung des 3 Phasennetzes;Abgang Rechen Wirkleistung des 3 Phasennetzes;Abgang Schlammentwässerung  Wirkleistung des 3 Phasennetzes;Wirkleistung Brauchwasser;BB1 - Trockensub.;BB2 - Trockensub.;BB3 - Trockensub.;Druck Luftleitung zum Becken 1;Druck Luftleitung zum Becken 2;Druck Luftleitung zum Becken 3;Durchfluß Luftleitung Gebläse 1-2;Durchfluß Luftleitung Gebläse 3-4;Durchfluß Luftleitung Gebläse 5-6;Durchfluß RLS von NKB;Schlamm zum ÜSS-Eindicker;Primärschlamm zum Faulbehälter;Schlamm zum ÜSS-Eindicker;Fett gesamt in m³
26.06.2016;8231;;;;;;8015;;;;;;;21,2;90;20;10;18;2;;;;;1706,32;802,5;2356,25;140,25;0,25;28,7;4,08;3,81;3,62;542,02;537,42;545,77;1687,05;824,89;661,88;;442;47,2;442;0
27.06.2016;9010;755;356;;75;;8816;37,3;7,7;0,034;4,9;1,3;20,08;21,2;90;20;10;18;2;;;;;1937,93;834,5;2338,75;154,5;268;33,2;4,07;3,81;3,65;544,67;537,83;546,2;1608,88;885,74;664,31;;393;46,1;393;25,1
28.06.2016;8362;;;;;;8121;;;;;;19,78;22;90;20;10;18;2;;;;;1954;859,75;2172;155,25;293,75;37,9;3,89;3,83;3,6;537,22;532,8;541,16;1476,22;786,13;589,98;;413,3;46;413,3;18,7
29.06.2016;9040;;;;;;8853;;;;;;20,06;21,9;90;20;10;18;2;;;;;1918,33;893;2227,75;141,25;247,5;30,5;3,92;3,75;3,4;543,08;535,72;544,11;1433,69;880,31;588,81;;443,7;47,3;443,7;14,3
30.06.2016;8285;;;9,5;;47,8;8285;;;0,031;5,18;1,56;20,38;21,9;90;20;10;18;2;10.107,00;113.210,80;14.535,00;108.782,80;2093,39;882,25;2172,25;146,5;242,5;28,4;4;3,94;3,38;538,46;534,24;542,69;1384,64;854,19;573,93;;441,9;47,7;441,9;25,1
01.07.2016;8699;;;;;;8536;;;;;;20;21,9;90;20;10;18;2;;;;;2148,02;866,5;2298,25;137,5;329,25;27,7;3,87;3,73;3,56;545,91;538,89;547,27;1471,48;941,09;592;;443,6;46,5;443,6;4,1
02.07.2016;9665;;;;;;9597;;;;;;;21,9;90;20;10;18;2;;;;;1897,91;839,5;2702,25;140,5;0;16,2;3,87;3,7;3,55;548,14;544,07;552,47;1714,03;1120,25;642,57;;441,9;46,3;441,9;0
03.07.2016;8371;;;;;;8132;;;;;;;21,9;90;20;10;18;2;;;;;1734,17;777,75;2036,25;142,25;0;14,7;3,58;3,45;3,36;533,18;529,51;538,17;1269,75;798,03;527,22;;443,7;47;443,7;0
04.07.2016;8219;;;;67;;7890;33,8;6,5;0,034;5,68;0,68;19,44;21,9;90;20;10;18;2;;;;;2089,27;845,5;2237,5;141;299;25,7;3,38;3,18;3,05;542,21;536,49;544,93;1368,36;992,42;559,73;;441,9;45,3;441,9;27,6
05.07.2016;8295;;;;;;8020;;;;;;18,66;21,9;90;20;10;18;2;;;;;2122,97;876,5;2211,25;130,5;214,75;25,7;3,78;3,54;3,41;538,57;534,54;542,92;1383,48;906,01;594,69;;438,6;46;438,6;13,6
06.07.2016;8073;799;371;10;;50,8;7827;;;;;;20,02;21,9;90;20;10;18;2;;;;;2001,74;866,5;2144,5;134,5;250,5;22,4;3,87;3,71;3,54;535,06;531,3;539,75;1354,35;859,47;562,39;;439,3;45,6;439,3;12,5
07.07.2016;8022;;;;;;7837;;;0,028;5,53;0,84;0;21,9;90;20;10;18;2;;;;;2314,57;850,25;2124,25;136,75;2,25;15,6;3,91;3,7;3,44;533,47;530,07;538,84;1257,94;895,04;560,79;;247,5;34,2;247,5;41,7
08.07.2016;10318;;;;;;10121;;;;;;18,42;21,9;90;20;10;18;2;;;;;2008,56;822,36;2502,07;142,75;177;36,6;4,13;3,8;3,65;550,72;540,51;548,89;1485,98;1102,2;668,28;;333,4;44,9;333,4;0
09.07.2016;8064;;;;;;7772;;;;;;;21,9;90;20;10;18;2;;;;;1812,29;812;2260;138,5;66,75;17,9;4,02;3,61;3,41;538,68;534,94;543,31;1493,16;894,36;545,58;;443,7;49,2;443,7;0
10.07.2016;7804;;;;;;7621;;;;;;;21,9;90;20;10;18;2;;;;;1772,43;809,25;2171,5;135;0;17,3;3,89;3,63;3,35;537,53;533,29;541,65;1425,89;794,95;616,83;;441,9;47,7;441,9;0
11.07.2016;8225;712;;11;70;;7958;35,6;5,9;0,037;5,24;1,41;18,9;21,9;90;20;10;18;2;;;;;1915,31;864,75;2285;141;290,5;31,1;3,93;3,8;3,45;541,63;537,51;545,8;1539,1;835,67;631,48;;443,6;46,6;443,6;13,2
12.07.2016;7936;;;;;;7550;;;;;;19,26;21,7;90;20;10;18;2;;;;;2362,62;866;2265,75;137,5;258,25;30,1;3,92;3,62;3,35;541,98;537,87;545,98;1488,82;869;603,45;;442;46,1;442;18,1
13.07.2016;7690;;420;;;47,5;7627;;;;;;19,6;21,7;90;20;10;18;2;;;;;2100,47;887,75;2260;139;314,25;21,4;3,91;3,55;3,43;542,31;538,2;546,36;1345,17;990,88;602,92;;443,6;46,9;443,6;12,1
14.07.2016;12028;;;;;;12029;;;;;;19,56;21,2;90;20;10;18;2;;;;;2271,05;862,25;2927,5;142;197,5;22;4,21;3,56;3,35;552,26;548,17;556,48;1604,41;1395,08;688,45;;237,9;44,3;237,9;25,3
15.07.2016;8052;;;;;;8220;;;0,036;6,44;0,48;18,64;21,2;90;20;10;18;2;;;;;2261,03;864;2260,5;141,25;240,25;19,2;4,04;3,94;3,58;540,76;536,99;545,38;1264,93;1031,04;601,22;;325,9;47,4;325,9;13,1
16.07.2016;7633;;;;;;7740;;;;;;;21,2;90;20;10;18;2;;;;;1997,67;863,25;2413;153;0;16,5;3,42;3,64;3,78;544,41;540,75;549,03;1295,16;1160,02;604,29;;441,9;46,9;441,9;0
17.07.2016;7956;;;;;;7582;;;;;;;21,2;90;20;10;18;2;;;;;1728,91;806,25;2199;146;0;19,2;3,93;3,71;3,63;540,53;536,51;544,88;1289,98;955,45;605,66;;443,6;46,2;443,6;0
18.07.2016;8062;;;;80;;8047;39;4,7;0,084;7,38;1,38;18,62;21,2;90;20;10;18;2;;;;;2009,8;808,75;2275,75;134,25;288,75;25,5;3,86;3,71;3,62;543,7;539,39;547,67;1285,72;1048,6;629,09;;205,8;44;205,8;37,2
19.07.2016;7867;;;;;;7853;35,9;4,7;0,048;7,09;1,11;19,48;21,2;90;20;10;18;2;;;;;2075,72;841,75;2409;140,75;256,5;19,2;4,03;3,74;3,46;543,33;543,85;552,17;1328,21;1181,22;629,52;;338,1;47,5;338,1;8,6
20.07.2016;8016;840;358;9,9;;42,6;7600;;;;;;18,72;20,7;90;20;10;18;2;;;;;2081,35;905,5;2433,5;141,5;232,5;23;4,07;3,92;3,6;546,82;542,84;551,1;1407,57;1094,98;623,03;;441,9;47,3;441,9;10,1
21.07.2016;8657;;;;;;8456;;;;;;20,18;20,7;90;20;10;18;2;;;;;1955,11;904,5;2706,75;142;231,25;21;3,89;3,83;3,63;549,99;546,56;554,76;1536,96;1190,81;630,03;;443,6;44,8;443,6;16,8
22.07.2016;8151;;;;;;8063;;;;;;19,25;20,7;90;20;10;18;2;;;;;1895,49;901,75;2532,25;141;68,75;19,9;3,91;3,7;3,34;547,15;543,66;551,84;1539,02;1019,29;587,7;;438,6;42,8;438,6;14,3
23.07.2016;7564;;;;;;7491;;;;;;;20,7;90;20;10;18;2;;;;;1710,02;826,5;2481,5;138;0;15;3,78;4,23;3,96;544,47;541,06;549,32;1571,63;962,25;615,14;;443,6;42,1;443,6;0
24.07.2016;7487;;;;;;7390;;;;;;;20,7;90;20;10;18;2;;;;;1441,08;817,25;2332,75;139,25;0;18;3,84;3,64;3,48;544,48;540,67;548,92;1474,27;944,27;627,92;;441,9;42,1;441,9;0
25.07.2016;8401;786;355;10,6;;;8197;40,6;6,2;0,037;5,09;1,5;;20;90;20;10;18;2;;;;;1670,23;858,75;2355;190,25;122;22,8;3,74;3,64;3,41;545,5;541,47;549,8;1500,68;950,51;648,82;;443,6;47,5;443,6;12
26.07.2016;8052;;;;;;7857;;;;;;;20;90;20;10;18;2;;;;;2191,22;885,5;2230;168,5;206,5;20,5;3,94;3,56;3,36;541,95;537,96;546,24;1513,31;785,62;664,84;;441,9;49,3;441,9;23,5
27.07.2016;7980;;;;;;7848;;;;;;18,42;20;90;20;10;18;2;;;;;2076,23;896;2348,25;237;249,25;31,9;3,75;3,65;3,44;545,84;541,74;550,02;1507,53;963,26;610,49;;443,6;45,5;443,6;9
28.07.2016;8323;;;;61;41,8;8145;;;;;;19,52;20;90;20;10;18;2;;;;;1792,44;902,25;2635,5;275,25;160,5;33,4;3,72;3,48;3,42;548,82;545,07;553,44;1609,03;1127,38;624,87;;442;47,4;442;0
29.07.2016;14093;;;;;;13964;;;1,09;6,11;1,49;;20;90;20;10;18;2;;;;;1655,5;876,5;3027,5;281,75;5,5;32,9;4,05;3,27;3,02;550,9;547,46;556,21;1766,64;1262,66;702,68;;443,6;51,9;443,6;0
30.07.2016;6987;;;;;;7023;;;;;;;20;90;20;10;18;2;;;;;1694,21;807,25;2051,75;264,75;0;22,7;3,71;3,52;3,41;531,46;527,89;536,61;1484,74;636,77;573,81;;441,9;51,7;441,9;0
31.07.2016;7005;;;;;;6932;;;;;;;20;90;20;10;18;2;3.894,00;133.565,36;18.066,00;119.393,36;1619,81;789,5;2157;263,25;0;14,2;3,63;3,55;3,36;534,79;531,02;539,69;1551,61;701,54;695,24;;443,6;51;443,6;0
01.08.2016;8575;895;;;76;;8279;33;5;0,041;4,5;0,48;;20;90;20;10;18;2;;;;;1985,53;778,5;2232;256,25;110,5;25,7;3,64;3,6;3,32;542,07;538,06;546,58;1493,35;792,16;769,18;;238,5;47,7;238,5;35,6
02.08.2016;9000;;;;;;8786;;;;;;18,55;20;90;20;10;18;2;;;;;2082,26;823,75;2232,75;261,75;232,75;32,1;3,84;3,74;3,43;541,36;537,22;545,68;1393,4;839,31;818,03;;340,3;50,3;340,3;11,9
03.08.2016;8049;;377;13,3;;51,1;7957;;;;;;18,55;20;90;20;10;18;2;;;;;2521,82;816,25;2095,75;253,75;187,25;19,5;3,62;3,43;2,99;535,48;531,58;540,27;1248,59;778,11;723,02;;227,5;49,1;227,5;45,9
04.08.2016;7837;;;;;;7677;;;0,567;6,58;0,2;17,5;20;90;20;10;18;2;;;;;2659,72;823,75;2064,5;254,75;231,75;24,1;3,83;3,51;3,34;534,71;530,89;539,82;1235,57;759,58;751,81;;250,4;51,3;250,4;28,9
05.08.2016;8446;;;;;;8324;;;;;;18,85;20;90;20;10;18;2;;;;;2675,61;875,75;2199,25;259,75;155,75;19,2;3,8;3,56;3,34;536,49;532,88;541,86;1323,55;809,68;828,6;;441,9;46,6;441,9;19,6
06.08.2016;7473;;;;;;7512;;;;;;;20;90;20;10;18;2;;;;;2240,71;804,5;2182,25;257,5;3;14,4;3,64;3,45;3,37;537,55;533,53;542,21;1364,85;786,12;842,14;;443,6;43,6;443,6;0
07.08.2016;7495;;;;;;7396;;;;;;;20;90;20;10;18;2;;;;;1695,74;688,25;2175,5;256,5;3;14,2;3,53;3,41;3,33;538,22;534,11;542,66;1337,64;792,53;842,6;;441,9;47,7;441,9;0
08.08.2016;8111;;;;;;7941;30,9;4,7;0,037;5,32;1,15;19,1;20;90;20;10;18;2;;;;;2117,64;696,75;2268,5;255,5;187;24,9;3,49;3,43;3,3;540,91;536,6;545,1;1375,78;820,23;879,73;;443,6;45,6;443,6;33,4
09.08.2016;7723;1050;302;10,1;65;52,4;7709;;;;;;20,55;19,8;90;20;10;18;2;;;;;2052,62;691;2152;260;24,75;26;3,65;3,52;3,36;538,61;529,14;537,77;1339,82;787,05;773,48;;441,9;47,5;441,9;9,4
10.08.2016;8209;;;;;;8030;;;;;;;19,8;90;20;10;18;2;;;;;1843,89;680,5;2148;280,75;215,75;28,2;3,67;3,53;3,23;531,74;527,84;536,68;1351,73;823,21;743,99;;443,7;47,5;443,7;6
11.08.2016;7964;;;;;;7798;;;0,441;6,49;1,47;18,45;19,8;90;20;10;18;2;;;;;1835,39;739,5;2063,25;273,25;242,75;19,3;3,7;3,46;3,15;530,62;526,87;535,57;1201,27;795,05;761,35;;441,9;48,2;441,9;14,1
12.08.2016;9675;;;;;;9558;;;;;;19,65;19,8;90;20;10;18;2;;;;;1752,92;804,75;2136;268,5;159,25;21,4;3,68;3,78;3,32;534,44;530,44;539,07;1275,47;824,76;788,51;;443,7;48;443,7;13,2
13.08.2016;7821;;;;;;7623;;;;;;;19,8;90;20;10;18;2;;;;;1681,47;734,04;2272,43;259,18;62,5;21,2;3,69;3,57;3,31;542,89;538,87;547,36;1419,46;849,08;817,02;;441,1;47,4;441,1;0
14.08.2016;7366;;;;;;7220;;;;;;;19,8;90;20;10;18;2;;;;;1537,5;672,25;2123,25;254;0;15,2;3,73;3,59;3,47;534,38;530,29;538,87;1294,94;804,72;705,96;;443,7;46,3;443,7;0
15.08.2016;8103;885;450;12,2;70;62,9;7880;27;7,1;0,058;7,08;1,59;18,7;19,6;90;20;10;18;2;;;;;1904,96;701,75;2267,5;252;193;22,6;3,82;3,55;3,29;542,01;537,61;545,87;1380,95;898,36;819,31;;442;47,3;442;21,8
16.08.2016;7914;;;;;;7775;;;;;;20,75;20;90;20;10;18;2;;;;;2100,09;708,5;2207,75;251;227,25;22,6;3,74;3,55;3,22;540,66;536,02;544,26;1337,96;881,31;743,3;;436,2;25,2;436,2;13,2
17.08.2016;7761;;;;;;7631;;;0,031;6,7;1,63;20,7;20;90;20;10;18;2;;;;;1869,56;731,75;2143,75;248,75;217,75;18,1;3,79;3,5;3,31;531,74;527,47;535,94;1326,94;840,9;698,49;;441,9;48,4;441,9;8,4
18.08.2016;7785;;;;;;7596;;;;;;20,2;20;90;20;10;18;2;;;;;1913,02;741,25;2135,5;247,25;195,5;22,2;3,59;3,29;3,19;530,24;526,01;534,56;1316,12;813,76;687,88;;443,6;47,1;443,6;11,2
19.08.2016;7903;;;;;;7871;;;;;;19,65;20;90;20;10;18;2;;;;;1735,04;725,5;2211;247,25;146,5;17,6;3,55;3,48;3,07;535,4;531,06;539,41;1402,88;832;723,12;;442;49,6;442;8,4
20.08.2016;13075;;;;;;12693;;;;;;;20;90;20;10;18;2;;;;;1562,27;772;2612,25;254,25;88;23,7;3,42;3,36;3,24;544,34;540,03;548,22;1657,1;1005,51;850,06;;429,8;50,7;429,8;0
21.08.2016;7871;;;;;;7828;;;;;;;20;90;20;10;18;2;;;;;1562,16;714,5;2340,5;243,5;0;14,9;3,54;3,4;3,19;535,78;532,52;540,91;1567,96;873,15;687,31;;441,9;53,5;441,9;0
22.08.2016;7646;819;403;12;;;7672;31,1;5,9;0,209;4,45;0,78;19,5;20;90;20;10;18;2;;;;;1741,85;706,75;2199,5;245,5;201,25;21,8;3,59;3,44;3,25;537,49;533,7;542,04;1495,68;793,34;707,53;;451,3;50,9;451,3;14
23.08.2016;7691;;;;;;7678;;;;;;19,95;19,6;90;20;10;18;2;;;;;1909,38;658,5;2170,5;240,75;227,75;17,3;3,69;3,41;3,09;531,84;528,3;536,92;1476,52;793,71;643,02;;440,8;47,4;440,8;12,2
24.08.2016;8176;;;;63;50,8;8090;;;;;;19,7;19,6;90;20;10;18;2;;;;;1899,82;638,5;2310;248,25;204,25;50,6;3,66;3,39;3,06;538,56;534,37;542,9;1573,02;862,41;680,04;;455,6;47,2;455,6;5,7
25.08.2016;8103;;;;;;7810;;;0,052;6,5;1,1;20,05;20,7;90;20;10;18;2;;;;;1925,94;672;2345;243,5;238,75;39,7;2,87;2,93;2,94;541,55;537,09;545,36;1622,64;856,05;673,72;;279,7;47,3;279,7;15,8
26.08.2016;7985;;;;;;7891;;;;;;19,9;20,7;90;20;10;18;2;;;;;1875,38;661,25;2339,5;235,25;202,75;43,2;3,64;3,44;3,05;542,47;538,06;546,25;1618,64;837,67;674,97;;285,6;43,9;285,6;16,9
27.08.2016;7393;;;;;;7373;;;;;;;20,7;90;20;10;18;2;;;;;1517,62;667,5;2283,5;244,25;0;12,2;3,43;3,47;3,21;539,42;534,6;542,63;1575,17;797,83;665,61;;453,8;46,2;453,8;0
28.08.2016;7372;;;;;;7304;;;;;;;20,7;90;20;10;18;2;;;;;1446,54;620,5;2239,75;242;0;12,6;3,3;3,25;3,07;541,41;533,5;541,61;1554,87;757,21;674,92;;455,5;46,3;455,5;0
29.08.2016;7661;812;;;72;;7554;37,4;;0,056;5,84;1,4;19,6;21,4;90;20;10;18;2;;;;;1703,03;645,25;2275,25;239,5;249,75;21,1;3,42;3,4;3,09;541,93;536,76;544,76;1609,17;777,14;695,64;;453,9;45,4;453,9;18,7
30.08.2016;7799;;;;;;7618;36,1;6,2;0,023;5,65;1,54;20,7;21,4;90;20;10;18;2;;;;;2103,77;641,25;2187,25;247;248;30,5;3,62;3,37;2,98;534,94;529,89;538,14;1594,34;737,55;640,15;;445,6;46,9;445,6;21,3
31.08.2016;7608;;;;;;7551;;;;;;19,9;20,8;90;20;10;18;2;6.912,00;123.476,56;16.383,00;114.005,56;2079,5;687;2191,5;243,25;232,25;42,6;3,64;3,33;3;542,48;535,33;543,54;1608,57;737,3;646,08;;453,8;47,2;453,8;10,4
01.09.2016;7575;;354;10,5;;54,9;7469;;;;;;19,85;20,8;90;20;10;18;2;;;;;2225,98;702,5;2095,75;240,25;244,25;20,4;3,46;3,36;3,05;533,77;530,62;539,2;1455,95;781,6;597,59;;455,6;49,4;455,6;18,9
02.09.2016;7713;;;;;;7608;;;;;;19,65;20,8;90;20;10;18;2;;;;;2361,64;694;2205;242;156;20,3;3,43;3,26;3,03;538,17;534,72;543,2;1482,63;848,98;639,58;;453,9;44,4;453,9;11,3
03.09.2016;7173;;;;;;7205;;;;;;;21,6;90;20;10;18;2;;;;;1825,65;654,75;2259;239,5;59,25;19,7;3,43;3,31;2,95;540,17;536,24;544,54;1572,5;815,77;648,43;;455,6;45,9;455,6;0
04.09.2016;7621;;;;;;7631;;;;;;;21,6;90;20;10;18;2;;;;;1493,11;642;2241,5;244,25;0;20,2;3,31;3,12;2,95;538,04;534,27;542,75;1538,04;819,18;688,28;;453,8;47,5;453,8;0
05.09.2016;11475;983;;;71;;11171;35,2;6,8;0,038;6,98;1,36;19,85;21,6;90;20;10;18;2;;;;;1597,46;654,17;2361,67;228,42;195,33;24;3,64;3,38;3,19;544,76;539,76;547,68;1582,71;1022,26;867,84;;394,7;43,9;394,7;16,8
06.09.2016;7911;;;;;;7695;;;;;;19,45;21,6;90;20;10;18;2;;;;;1752,11;698,5;2190;246;224,75;21,5;3,63;3,24;2,96;531,11;526,35;534,64;1429,73;873,84;719,25;;467,2;47,8;467,2;12,7
07.09.2016;7895;;402;10,3;;52,5;7740;;;;;;20,05;22,1;90;20;10;18;2;;;;;1662,03;732,25;2211,5;246,75;210,5;32,3;3,36;3,25;3,04;532,58;527,92;536,13;1451,86;877,65;675,28;;459,2;47,3;459,2;4,3
08.09.2016;7991;;;;;;7719;;;;;;19,52;22,1;90;20;10;18;2;;;;;1940,5;805;2259,75;241;187,5;20,5;3,31;3,29;2,95;535,37;530,56;538,78;1525,33;860,26;674,5;;467,5;46,9;467,5;20,7
09.09.2016;7829;1023;;;;;7673;;;0,009;6,82;1,62;;21,6;90;20;10;18;2;;;;;1683,12;781;3178,25;234,75;96,5;30,6;3,32;3,28;2,96;546,22;541,9;550,16;1998,27;1201;958,15;;334,3;48,3;334,3;3,3
10.09.2016;7557;;;;;;7386;;;;;;;21,6;90;20;10;18;2;;;;;1413,42;796,5;3672,25;238;0;16,9;3,35;3,23;3,02;549,42;545,66;553,95;2213,33;1458,19;1132,84;;467,5;49,3;467,5;0
11.09.2016;7451;;;;;;7257;;;;;;;21,6;90;20;10;18;2;;;;;1462,92;797;2563,5;235,25;0;16,5;3,22;3,19;2,86;540,53;536,45;544,65;1702,12;976,77;722,04;;465,6;49,2;465,6;0
12.09.2016;8117;903;;11,6;74;;7835;40,8;6,2;0,063;5,89;1,4;20,65;21,6;90;20;10;18;2;;;;;1574,28;812,75;2267,75;236,75;203,75;28,8;3,35;3,31;2,96;535,9;531,9;540,31;1559,86;844,22;679,33;;456,6;49,2;456,6;18,9
13.09.2016;7951;;;;;;7703;;;;;;21;21,6;90;20;10;18;2;;;;;1903,61;845,25;2187;250,25;217;21,4;3,25;3,13;2,96;535;530,9;539,22;1522,88;767,42;637,01;;465,8;47,9;465,8;30,9
14.09.2016;7807;;;;;;7666;;;;;;20,3;21,6;90;20;10;18;2;;;;;1728,69;845;2111;247,5;126,75;20,7;2,92;3,08;2,86;529,58;526,34;535,04;1507,77;761,32;600,12;;467,5;47,1;467,5;2,9
15.09.2016;7612;;416;;;52,8;7364;;;0,025;5,39;1,08;;21,6;90;20;10;18;2;;;;;1804,48;842;2146,75;241,75;71,25;21,3;2,91;2,86;2,81;534,93;531,36;539,74;1469,01;782,05;618,14;;465,6;45,9;465,6;19,7
16.09.2016;8028;;;;;;7844;;;;;;;21,6;90;20;10;18;2;;;;;2231,45;785,75;2165,75;243,25;81,5;24,9;3,23;3,21;3,11;536,65;532,9;541,28;1457,14;808,27;635,4;;467,5;47,2;467,5;16,3
17.09.2016;19323;;;;;;18936;;;;;;;21,6;90;20;10;18;2;;;;;1817,58;842;2821;262,5;0;20,4;3,45;2,99;2,62;549,54;545,37;553,66;1762,15;1120,12;964,3;;465,7;46,6;465,7;0
18.09.2016;7666;;;;;;7381;;;;;;;21,6;90;20;10;18;2;;;;;1655,06;729;1865;238,25;0;10,3;3,03;3,24;2,58;540,73;535,74;543,95;1371,1;590,35;498,6;;467,5;46;467,5;0
19.09.2016;7996;706;347;;;;7781;34,9;7,1;0,058;5,02;1,13;;21,6;90;20;10;18;2;;;;;1946,44;746,5;2049,75;249,25;0;18,9;3,11;3,11;2,79;533,15;529,07;537,72;1561,29;627,99;602,53;;465,8;45,6;465,8;22,3
20.09.2016;7725;;;;;;7107;;;;;;;21,6;90;20;10;18;2;;;;;1916,11;744,75;1871,5;252,75;1,75;19,4;3,24;2,97;2,8;530,15;525,65;534,25;1243,54;655,26;565,2;;467,5;45,6;467,5;7,8
21.09.2016;8158;;;;;;7760;;;;;;;21,6;90;20;10;18;2;;;;;1892,41;744,25;1890,5;252;1,5;32,9;3,26;2,97;2,82;542,45;526,17;534,63;1250,85;681,71;563,88;;465,7;46,6;465,7;7,3
22.09.2016;7763;;;11,5;75;57,2;7388;;;0,035;5,34;0,95;;21,6;90;20;10;18;2;;;;;1950,85;742,5;1844,25;247;0;15,7;3,08;2,92;2,8;531,04;527,37;535,85;1281,75;662,48;544,21;;467,5;44,5;467,5;21,9
23.09.2016;7801;;;;;;7389;;;;;;20,55;21,6;90;20;10;18;2;;;;;1971,06;724,5;1914,5;248;189,5;22,7;3,05;2,84;2,7;527,22;523,84;532,42;1373,41;679,19;574,04;;465,7;46,5;465,7;6,8
24.09.2016;7531;;;;;;7128;;;;;;;21,6;90;20;10;18;2;;;;;1582,75;722;1994;245,5;3;19,4;2,96;2,83;2,72;528,42;524,87;533,56;1453,72;707,84;593,29;;467,5;46,5;467,5;0
25.09.2016;7322;;;;;;7096;;;;;;;21,6;90;20;10;18;2;;;;;1532,55;725,5;1960,5;242,75;3,75;16,6;2,87;2,86;2,64;528,82;525,41;534,14;1391,47;697,69;602,99;;465,7;47,8;465,7;0
26.09.2016;7728;;373;;78;;7439;;6,2;0,013;5,36;0,82;20,1;20,9;90;20;10;18;2;;;;;1564,7;766,25;2008;249,5;234,5;26,3;2,9;2,88;2,56;532,25;527,28;535,94;1385,32;746,23;599,58;;467,5;46,2;467,5;4,8
27.09.2016;7767;;;;;;7560;;;;;;20,9;20,9;90;20;10;18;2;;;;;1603,59;770;2111,75;250,5;246,75;21,4;2,78;2,9;2,63;536,35;532,63;541,21;1393,6;815,34;651,36;;462,8;45,8;462,8;4,2
